[i] Train : 7038
[i] Valid : 227
[i] pred_bboxes_op : Tensor("transpose:0", shape=(?, 49104, 4), dtype=float32)
[i] pred_classes_op : Tensor("RetinaNet/Sigmoid:0", shape=(?, 49104, 2), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 49104, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 49104, 2), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
 [i] generate validation data
[i] iter : 8350, loss : 6.1163, focal_loss : 0.1936, giou_loss : 0.1757, l2_reg_loss : 5.7470, train_time : 23sec
[i] iter : 8400, loss : 6.0913, focal_loss : 0.1764, giou_loss : 0.1784, l2_reg_loss : 5.7365, train_time : 23sec
[i] iter : 8450, loss : 6.0827, focal_loss : 0.1734, giou_loss : 0.1833, l2_reg_loss : 5.7260, train_time : 23sec
[i] iter : 8500, loss : 6.0428, focal_loss : 0.1538, giou_loss : 0.1737, l2_reg_loss : 5.7154, train_time : 23sec
[i] iter : 8550, loss : 6.0216, focal_loss : 0.1425, giou_loss : 0.1744, l2_reg_loss : 5.7048, train_time : 23sec
[i] iter : 8600, loss : 6.0176, focal_loss : 0.1481, giou_loss : 0.1754, l2_reg_loss : 5.6941, train_time : 23sec
[i] iter : 8650, loss : 6.0229, focal_loss : 0.1603, giou_loss : 0.1790, l2_reg_loss : 5.6835, train_time : 23sec
[i] iter : 8700, loss : 6.0087, focal_loss : 0.1612, giou_loss : 0.1746, l2_reg_loss : 5.6729, train_time : 24sec
[i] iter : 8750, loss : 6.0248, focal_loss : 0.1848, giou_loss : 0.1779, l2_reg_loss : 5.6621, train_time : 23sec
[i] iter : 8800, loss : 5.9901, focal_loss : 0.1623, giou_loss : 0.1764, l2_reg_loss : 5.6514, train_time : 23sec
[i] iter : 8850, loss : 5.9919, focal_loss : 0.1727, giou_loss : 0.1785, l2_reg_loss : 5.6406, train_time : 23sec
[i] iter : 8900, loss : 6.0039, focal_loss : 0.1987, giou_loss : 0.1753, l2_reg_loss : 5.6300, train_time : 23sec
[i] iter : 8950, loss : 5.9711, focal_loss : 0.1732, giou_loss : 0.1784, l2_reg_loss : 5.6194, train_time : 22sec
[i] iter : 9000, loss : 5.9803, focal_loss : 0.2019, giou_loss : 0.1696, l2_reg_loss : 5.6088, train_time : 23sec
[i] iter : 9050, loss : 5.9484, focal_loss : 0.1733, giou_loss : 0.1767, l2_reg_loss : 5.5983, train_time : 23sec
[i] iter : 9100, loss : 5.9289, focal_loss : 0.1685, giou_loss : 0.1726, l2_reg_loss : 5.5878, train_time : 23sec
[i] iter : 9150, loss : 5.9034, focal_loss : 0.1526, giou_loss : 0.1735, l2_reg_loss : 5.5772, train_time : 22sec
[i] iter : 9200, loss : 5.9073, focal_loss : 0.1642, giou_loss : 0.1765, l2_reg_loss : 5.5666, train_time : 23sec
[i] iter : 9250, loss : 5.8942, focal_loss : 0.1642, giou_loss : 0.1741, l2_reg_loss : 5.5559, train_time : 23sec
